"universite_nom","etablissement_nom","domaine_nom","speciality","group","diplome_nom","diplomes_M","diplomes_F","diplomes_total"
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",16,58,74
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Licence appliquée",3,0,3
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Diplôme National en Licence",9,3,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف الصناعي","تصرف","Diplôme National en Licence",3,14,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف المندمج في الجودة و الصحة,و السلامة و المحيط","تصرف","Mastère professionnel",1,15,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Ingénierie et techniques apparentées","التصرف في الانتاج","هندسة صناعية والكترونيك وآلية","Licence appliquée",0,1,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف في المؤسسات الصغرى و المتوسطة","تصرف","Licence appliquée",2,4,6
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",10,7,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Services de transport","الوجستيك والنقل الدولي","تصرف في النقل واللوجستيك","Licence appliquée",0,1,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Services de transport","الوجستيك والنقل الدولي","تصرف في النقل واللوجستيك","Diplôme National en Licence",7,34,41
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Licence appliquée",2,0,2
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",53,25,78
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",18,41,59
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","الالية والاعلامية الصناعية","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",7,4,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",13,10,23
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",6,6,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Affaires commerciales et administratives","المحاسبة والمالية","محاسبة","Diplôme National en Licence",7,33,40
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","تكنولوجيا الإعلامية:تطوير أنظمة المعلومات","تحضير تقني","Diplôme National en Licence",3,2,5
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","صيانة صناعية","هندسة ميكانيكية","Diplôme National en Licence",7,2,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة كهربائية","هندسة كهربائية","Mastère professionnel",4,6,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة كهربائية : كهرباء صناعية","هندسة كهربائية","Diplôme National en Licence",6,3,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة ميكانيكية","هندسة ميكانيكية","Mastère professionnel",8,2,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة ميكانيكية","هندسة ميكانيكية","Mastère professionnel",5,3,8
